image_id;variant_id;product_id;sort_order;path
KD-PD-10287__v001__img2;KD-PD-10287__v001;KD-PD-10287;2;/assets/images/68f8dd754708a_big.jpg
KD-PD-10127__v001__img1;KD-PD-10127__v001;KD-PD-10127;1;/assets/images/KD-PD-10127.png
KD-PD-10127__v002__img1;KD-PD-10127__v002;KD-PD-10127;1;/assets/images/KD-PD-10127.png
KD-PD-10283__v001__img1;KD-PD-10283__v001;KD-PD-10283;1;/assets/images/68da390e4614a_big.jpg
KD-PD-10283__v001__img2;KD-PD-10283__v001;KD-PD-10283;2;/assets/images/68ecc502bdb94_big.jpg
KD-PD-10284__v001__img1;KD-PD-10284__v001;KD-PD-10284;1;/assets/images/69f06b63e0eac_big.jpg
KD-PD-10284__v001__img2;KD-PD-10284__v001;KD-PD-10284;2;/assets/images/68ecc79f1d5e2_big.jpg
KD-PD-10256__v001__img1;KD-PD-10256__v001;KD-PD-10256;1;/assets/images/KD-PD-10256.png
KD-PD-10254__v001__img1;KD-PD-10254__v001;KD-PD-10254;1;/assets/images/KD-PD-10254.png
KD-PD-2000__v001__img1;KD-PD-2000__v001;KD-PD-2000;1;/assets/images/KD-PD-2000-BLUE01.png
KD-PD-2000__v002__img1;KD-PD-2000__v002;KD-PD-2000;1;/assets/images/KD-PD-2000-WHITE01.png
KD-PD-2000__v003__img1;KD-PD-2000__v003;KD-PD-2000;1;/assets/images/KD-PD-2000-DARK01.png
KD-PD-2003__v001__img1;KD-PD-2003__v001;KD-PD-2003;1;/assets/images/KD-PD-2003-BLUE01.png
KD-PD-2003__v001__img2;KD-PD-2003__v001;KD-PD-2003;2;/assets/images/KD-PD-2003-BLUE02.png
KD-PD-2010__v001__img1;KD-PD-2010__v001;KD-PD-2010;1;/assets/images/KD-PD-2010-WHITE01.png
KD-PD-2010__v002__img1;KD-PD-2010__v002;KD-PD-2010;1;/assets/images/KD-PD-2010-DARK01.png
KD-PD-2001__v001__img1;KD-PD-2001__v001;KD-PD-2001;1;/assets/images/KD-PD-2001-DARK01.png
KD-PD-2001__v002__img1;KD-PD-2001__v002;KD-PD-2001;1;/assets/images/KD-PD-2001-WHITE01.png
KD-PD-2004__v001__img1;KD-PD-2004__v001;KD-PD-2004;1;/assets/images/KD-PD-2004-WHITE01.png
